task_name,task_type,target_column,subset,entity_column,total_rows,total_entities,positive_rows,positive_rate,positive_entities,minimum_three_way_positive_entities,recommended_positive_entities,support_status,benchmark_role,recommended_split_id,recommended_split_unit,split_rows_in_subset,partitions_present,partitions_with_positive,leakage_groups_crossing_partitions,recommendation
line_overload_binary_classification,binary_classification,line_overload_binary_classification_target,all_benchmark_eligible,line_id,163,36,13,0.07975460122699386,3,3,10,LIMITED_GROUPED_SUPPORT,CHALLENGE_INSUFFICIENT_SUPPORT,line_balanced_recommended_v1,sample_row,163,test|train|validation,test|train|validation,10,Report positive entity counts and uncertainty; do not make strong generalization claims.
line_overload_binary_classification,binary_classification,line_overload_binary_classification_target,benchmark_core,line_id,120,32,0,0.0,0,3,10,NO_POSITIVE_ENTITIES,CHALLENGE_INSUFFICIENT_SUPPORT,line_balanced_recommended_v1,sample_row,120,test|train|validation,,10,Use the continuous regression task or generate independent positive scenarios.
line_overload_binary_classification,binary_classification,line_overload_binary_classification_target,governance_sensitive,line_id,43,4,13,0.3023255813953488,3,3,10,LIMITED_GROUPED_SUPPORT,CHALLENGE_INSUFFICIENT_SUPPORT,line_balanced_recommended_v1,sample_row,43,test|train|validation,test|train|validation,10,Report positive entity counts and uncertainty; do not make strong generalization claims.
line_loading_regression,regression,line_loading_regression_target,benchmark_core,line_id,120,32,,,,3,10,CONTINUOUS_TARGET_GROUPED_EVALUATION,PRIMARY,line_grouped_entity_primary_v1,line_id,120,test|train|validation,,0,Use strict grouped entity holdout and report continuous-target distribution by partition.
line_relative_high_stress_classification,binary_classification,line_relative_high_stress_classification_target,all_benchmark_eligible,line_id,163,36,36,0.22085889570552147,7,3,10,LIMITED_GROUPED_SUPPORT,AUXILIARY_LIMITED_SUPPORT,line_grouped_entity_relative_stress_v1,line_id,120,test|train|validation,test|train|validation,0,Report positive entity counts and uncertainty; do not make strong generalization claims.
line_relative_high_stress_classification,binary_classification,line_relative_high_stress_classification_target,benchmark_core,line_id,120,32,36,0.3,7,3,10,LIMITED_GROUPED_SUPPORT,AUXILIARY_LIMITED_SUPPORT,line_grouped_entity_relative_stress_v1,line_id,120,test|train|validation,test|train|validation,0,Report positive entity counts and uncertainty; do not make strong generalization claims.
line_relative_high_stress_classification,binary_classification,line_relative_high_stress_classification_target,governance_sensitive,line_id,43,4,0,0.0,0,3,10,NO_POSITIVE_ENTITIES,AUXILIARY_LIMITED_SUPPORT,line_grouped_entity_relative_stress_v1,line_id,0,,,0,Use the continuous regression task or generate independent positive scenarios.
generator_top_dispatch_classification,binary_classification,generator_top_dispatch_classification_target,all_benchmark_eligible,generator_id,94,18,7,0.07446808510638298,2,3,10,INSUFFICIENT_FOR_THREE_WAY_GROUPED,CHALLENGE_INSUFFICIENT_SUPPORT,generator_balanced_recommended_v1,sample_row,94,test|train|validation,test|train|validation,9,Do not force a three-way grouped evaluation; use descriptive analysis or grouped two-fold evaluation.
generator_top_dispatch_classification,binary_classification,generator_top_dispatch_classification_target,benchmark_core,generator_id,87,17,2,0.022988505747126436,1,3,10,INSUFFICIENT_FOR_THREE_WAY_GROUPED,CHALLENGE_INSUFFICIENT_SUPPORT,generator_balanced_recommended_v1,sample_row,87,test|train|validation,test|validation,9,Do not force a three-way grouped evaluation; use descriptive analysis or grouped two-fold evaluation.
generator_top_dispatch_classification,binary_classification,generator_top_dispatch_classification_target,governance_sensitive,generator_id,7,1,5,0.7142857142857143,1,3,10,INSUFFICIENT_FOR_THREE_WAY_GROUPED,CHALLENGE_INSUFFICIENT_SUPPORT,generator_balanced_recommended_v1,sample_row,7,train|validation,train|validation,9,Do not force a three-way grouped evaluation; use descriptive analysis or grouped two-fold evaluation.
generator_dispatch_regression,regression,generator_dispatch_regression_target,benchmark_core,generator_id,87,17,,,,3,10,CONTINUOUS_TARGET_GROUPED_EVALUATION,PRIMARY,generator_grouped_entity_primary_v1,generator_id,87,test|train|validation,,0,Use strict grouped entity holdout and report continuous-target distribution by partition.
generator_relative_high_dispatch_classification,binary_classification,generator_relative_high_dispatch_classification_target,all_benchmark_eligible,generator_id,94,18,26,0.2765957446808511,4,3,10,LIMITED_GROUPED_SUPPORT,AUXILIARY_LIMITED_SUPPORT,generator_grouped_entity_relative_dispatch_v1,generator_id,87,test|train|validation,test|train|validation,0,Report positive entity counts and uncertainty; do not make strong generalization claims.
generator_relative_high_dispatch_classification,binary_classification,generator_relative_high_dispatch_classification_target,benchmark_core,generator_id,87,17,26,0.2988505747126437,4,3,10,LIMITED_GROUPED_SUPPORT,AUXILIARY_LIMITED_SUPPORT,generator_grouped_entity_relative_dispatch_v1,generator_id,87,test|train|validation,test|train|validation,0,Report positive entity counts and uncertainty; do not make strong generalization claims.
generator_relative_high_dispatch_classification,binary_classification,generator_relative_high_dispatch_classification_target,governance_sensitive,generator_id,7,1,0,0.0,0,3,10,NO_POSITIVE_ENTITIES,AUXILIARY_LIMITED_SUPPORT,generator_grouped_entity_relative_dispatch_v1,generator_id,0,,,0,Use the continuous regression task or generate independent positive scenarios.
